Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:34:46

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
431.0000      	23201.8561    	2639.19995    
432.0000      	23148.1481    	2626.60010    
433.0000      	23094.6882    	2650.00000    
434.0000      	23041.4747    	2621.80005    
435.0000      	22988.5057    	2630.60010    
436.0000      	22935.7798    	2613.50000    
437.0000      	22883.2952    	2697.00000    
438.0000      	22831.0502    	3111.39990    
439.0000      	22779.0433    	2781.00000    
440.0000      	22727.2727    	2684.19995    
441.0000      	22675.7370    	2655.60010    
442.0000      	22624.4344    	2903.19995    
443.0000      	22573.3634    	2840.80005    
444.0000      	22522.5225    	2716.69995    
445.0000      	22471.9101    	2680.69995    
446.0000      	22421.5247    	5472.00000    
447.0000      	22371.3647    	7970.10010    
448.0000      	22321.4286    	3873.19995    
449.0000      	22271.7149    	2743.00000    
450.0000      	22222.2222    	2652.19995    
451.0000      	22172.9490    	2638.89990    
452.0000      	22123.8938    	2633.19995    
453.0000      	22075.0552    	2746.89990    
454.0000      	22026.4317    	2724.89990    
455.0000      	21978.0220    	2624.10010    
456.0000      	21929.8246    	2646.69995    
457.0000      	21881.8381    	2732.19995    
458.0000      	21834.0611    	2707.30005    
459.0000      	21786.4924    	2639.60010    
460.0000      	21739.1304    	2631.19995    
461.0000      	21691.9740    	2651.19995    
462.0000      	21645.0216    	2689.50000    
463.0000      	21598.2721    	2660.00000    
464.0000      	21551.7241    	2726.60010    
465.0000      	21505.3763    	2701.60010    
466.0000      	21459.2275    	2666.60010    
467.0000      	21413.2762    	2711.60010    
468.0000      	21367.5214    	2723.39990    
469.0000      	21321.9616    	2677.10010    
470.0000      	21276.5957    	3357.60010    
471.0000      	21231.4225    	8232.90039    
472.0000      	21186.4407    	4519.79980    
473.0000      	21141.6490    	2827.39990    
474.0000      	21097.0464    	2656.19995    
475.0000      	21052.6316    	3083.80005    
476.0000      	21008.4034    	2743.19995    
477.0000      	20964.3606    	2654.39990    
478.0000      	20920.5021    	2665.00000    
479.0000      	20876.8267    	2830.89990    
480.0000      	20833.3333    	2704.00000    
481.0000      	20790.0208    	2865.50000    
482.0000      	20746.8880    	2929.60010    
483.0000      	20703.9337    	2808.50000    
484.0000      	20661.1570    	3077.19995    
485.0000      	20618.5567    	2750.60010    
486.0000      	20576.1317    	2748.19995    
487.0000      	20533.8809    	2765.19995    
488.0000      	20491.8033    	2809.30005    
489.0000      	20449.8978    	2778.30005    
490.0000      	20408.1633    	2653.50000    
491.0000      	20366.5988    	2681.80005    
492.0000      	20325.2033    	4327.89990    
493.0000      	20283.9757    	3395.39990    
494.0000      	20242.9150    	2729.00000    
495.0000      	20202.0202    	2709.69995    
496.0000      	20161.2903    	2866.69995    
497.0000      	20120.7243    	2666.69995    
498.0000      	20080.3213    	2699.60010    
499.0000      	20040.0802    	2637.00000    
500.0000      	20000.0000    	2818.10010    
501.0000      	19960.0798    	3232.39990    
502.0000      	19920.3187    	4536.29980    
503.0000      	19880.7157    	3267.39990    
504.0000      	19841.2698    	5440.70020    
505.0000      	19801.9802    	5060.39990    
506.0000      	19762.8458    	2887.60010    
507.0000      	19723.8659    	2709.69995    
508.0000      	19685.0394    	3608.39990    
509.0000      	19646.3654    	3116.00000    
510.0000      	19607.8431    	2661.60010    
511.0000      	19569.4716    	2700.69995    
512.0000      	19531.2500    	3374.19995    
513.0000      	19493.1774    	2734.80005    
514.0000      	19455.2529    	2734.00000    
515.0000      	19417.4757    	3271.19995    
516.0000      	19379.8450    	3001.80005    
517.0000      	19342.3598    	2668.50000    
518.0000      	19305.0193    	2663.00000    
519.0000      	19267.8227    	3487.00000    
520.0000      	19230.7692    	3170.00000    
521.0000      	19193.8580    	3683.00000    
522.0000      	19157.0881    	2929.50000    
523.0000      	19120.4589    	2927.00000    
524.0000      	19083.9695    	2935.39990    
525.0000      	19047.6190    	2651.00000    
526.0000      	19011.4068    	2622.19995    
527.0000      	18975.3321    	2652.30005    
528.0000      	18939.3939    	2672.89990    
529.0000      	18903.5917    	2641.19995    
530.0000      	18867.9245    	2797.69995    
531.0000      	18832.3917    	2832.19995    
532.0000      	18796.9925    	2717.39990    
533.0000      	18761.7261    	3334.19995    
534.0000      	18726.5918    	4034.00000    
535.0000      	18691.5888    	4998.79980    
536.0000      	18656.7164    	2885.39990    
537.0000      	18621.9739    	2799.30005    
538.0000      	18587.3606    	2940.60010    
539.0000      	18552.8757    	2689.30005    
540.0000      	18518.5185    	2653.19995    
541.0000      	18484.2884    	2883.50000    
542.0000      	18450.1845    	2789.30005    
543.0000      	18416.2063    	2716.39990    
544.0000      	18382.3529    	3445.80005    
545.0000      	18348.6239    	2731.10010    
546.0000      	18315.0183    	2686.60010    
547.0000      	18281.5356    	2644.39990    
548.0000      	18248.1752    	2633.69995    
549.0000      	18214.9362    	2622.39990    
550.0000      	18181.8182    	2678.00000    
551.0000      	18148.8203    	2624.60010    
552.0000      	18115.9420    	2614.10010    
553.0000      	18083.1826    	2621.89990    
554.0000      	18050.5415    	2648.19995    
555.0000      	18018.0180    	2631.30005    
556.0000      	17985.6115    	2612.89990    
557.0000      	17953.3214    	2698.19995    
558.0000      	17921.1470    	2636.89990    
559.0000      	17889.0877    	2650.19995    
560.0000      	17857.1429    	2661.19995    
561.0000      	17825.3119    	2637.50000    
562.0000      	17793.5943    	2615.19995    
563.0000      	17761.9893    	2639.39990    
564.0000      	17730.4965    	2633.00000    
565.0000      	17699.1150    	2625.69995    
566.0000      	17667.8445    	2642.89990    
567.0000      	17636.6843    	2634.60010    
568.0000      	17605.6338    	2639.39990    
569.0000      	17574.6924    	2629.69995    
570.0000      	17543.8596    	2645.30005    
571.0000      	17513.1349    	2630.00000    
572.0000      	17482.5175    	2630.80005    
573.0000      	17452.0070    	2617.89990    
574.0000      	17421.6028    	2714.69995    
575.0000      	17391.3043    	2640.19995    
576.0000      	17361.1111    	2652.19995    
577.0000      	17331.0225    	2649.00000    
578.0000      	17301.0381    	2653.19995    
579.0000      	17271.1572    	2629.50000    
580.0000      	17241.3793    	2660.80005    
581.0000      	17211.7040    	2645.80005    
582.0000      	17182.1306    	2643.10010    
583.0000      	17152.6587    	2652.00000    
584.0000      	17123.2877    	2659.69995    
585.0000      	17094.0171    	2647.50000    
586.0000      	17064.8464    	2641.10010    
587.0000      	17035.7751    	2632.39990    
588.0000      	17006.8027    	2670.89990    
589.0000      	16977.9287    	2641.39990    
590.0000      	16949.1525    	2665.69995    
591.0000      	16920.4738    	2710.80005    
592.0000      	16891.8919    	2666.30005    
593.0000      	16863.4064    	2648.50000    
594.0000      	16835.0168    	2673.39990    
595.0000      	16806.7227    	2676.60010    
596.0000      	16778.5235    	2644.50000    
597.0000      	16750.4188    	2672.30005    
598.0000      	16722.4080    	2668.10010    
599.0000      	16694.4908    	2654.10010    
600.0000      	16666.6667    	2671.30005    
601.0000      	16638.9351    	2654.89990    
602.0000      	16611.2957    	2657.30005    
603.0000      	16583.7479    	2650.00000    
604.0000      	16556.2914    	2662.50000    
605.0000      	16528.9256    	2658.39990    
606.0000      	16501.6502    	2686.30005    
607.0000      	16474.4646    	2658.19995    
608.0000      	16447.3684    	2708.89990    
609.0000      	16420.3612    	2685.10010    
610.0000      	16393.4426    	2728.69995    
611.0000      	16366.6121    	2715.10010    
612.0000      	16339.8693    	2716.60010    
613.0000      	16313.2137    	2723.50000    
614.0000      	16286.6450    	2711.10010    
615.0000      	16260.1626    	2730.19995    
616.0000      	16233.7662    	2738.39990    
617.0000      	16207.4554    	2763.50000    
618.0000      	16181.2298    	2773.80005    
619.0000      	16155.0889    	2770.10010    
620.0000      	16129.0323    	2801.69995    
621.0000      	16103.0596    	2781.69995    
622.0000      	16077.1704    	2801.69995    
623.0000      	16051.3644    	2838.89990    
624.0000      	16025.6410    	2930.19995    
625.0000      	16000.0000    	2926.39990    
626.0000      	15974.4409    	2931.80005    
627.0000      	15948.9633    	3071.80005    
628.0000      	15923.5669    	3142.19995    
629.0000      	15898.2512    	3103.80005    
630.0000      	15873.0159    	3192.10010    
631.0000      	15847.8605    	3571.19995    
632.0000      	15822.7848    	4432.20020    
633.0000      	15797.7883    	33988.69922   
634.0000      	15772.8707    	65535.00000   
635.0000      	15748.0315    	52015.00000   
636.0000      	15723.2704    	11135.59961   
637.0000      	15698.5871    	7038.29980    
