Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:26:09

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
482.0000      	20746.8880    	3198.60010    
483.0000      	20703.9337    	3207.60010    
484.0000      	20661.1570    	2955.39990    
485.0000      	20618.5567    	3291.00000    
486.0000      	20576.1317    	2941.10010    
487.0000      	20533.8809    	3683.60010    
488.0000      	20491.8033    	2888.00000    
489.0000      	20449.8978    	3407.89990    
490.0000      	20408.1633    	2974.39990    
491.0000      	20366.5988    	2862.80005    
492.0000      	20325.2033    	2929.39990    
493.0000      	20283.9757    	7798.29980    
494.0000      	20242.9150    	3008.80005    
495.0000      	20202.0202    	2883.39990    
496.0000      	20161.2903    	2868.50000    
497.0000      	20120.7243    	2999.00000    
498.0000      	20080.3213    	2883.60010    
499.0000      	20040.0802    	2850.50000    
500.0000      	20000.0000    	3041.19995    
501.0000      	19960.0798    	3061.10010    
502.0000      	19920.3187    	6247.79980    
503.0000      	19880.7157    	3478.80005    
504.0000      	19841.2698    	4194.70020    
505.0000      	19801.9802    	4271.50000    
506.0000      	19762.8458    	4276.50000    
507.0000      	19723.8659    	2868.19995    
508.0000      	19685.0394    	3186.10010    
509.0000      	19646.3654    	5727.79980    
510.0000      	19607.8431    	2914.30005    
511.0000      	19569.4716    	2878.39990    
512.0000      	19531.2500    	2925.89990    
513.0000      	19493.1774    	3475.89990    
514.0000      	19455.2529    	2857.60010    
515.0000      	19417.4757    	3901.89990    
516.0000      	19379.8450    	4033.30005    
517.0000      	19342.3598    	2978.60010    
518.0000      	19305.0193    	2877.80005    
519.0000      	19267.8227    	3014.10010    
520.0000      	19230.7692    	4479.60010    
521.0000      	19193.8580    	3730.60010    
522.0000      	19157.0881    	3911.89990    
523.0000      	19120.4589    	3400.19995    
524.0000      	19083.9695    	3068.50000    
525.0000      	19047.6190    	2939.69995    
526.0000      	19011.4068    	2868.89990    
527.0000      	18975.3321    	2890.50000    
528.0000      	18939.3939    	2936.60010    
529.0000      	18903.5917    	2902.39990    
530.0000      	18867.9245    	2898.39990    
531.0000      	18832.3917    	3190.39990    
532.0000      	18796.9925    	2929.80005    
533.0000      	18761.7261    	3083.89990    
534.0000      	18726.5918    	8349.00000    
535.0000      	18691.5888    	9597.59961    
536.0000      	18656.7164    	3132.50000    
537.0000      	18621.9739    	3292.39990    
538.0000      	18587.3606    	3176.60010    
539.0000      	18552.8757    	2952.50000    
540.0000      	18518.5185    	2924.39990    
541.0000      	18484.2884    	3438.60010    
542.0000      	18450.1845    	3143.00000    
543.0000      	18416.2063    	3411.89990    
544.0000      	18382.3529    	3478.00000    
545.0000      	18348.6239    	3274.69995    
546.0000      	18315.0183    	3227.19995    
547.0000      	18281.5356    	3152.60010    
548.0000      	18248.1752    	2943.10010    
549.0000      	18214.9362    	2928.50000    
550.0000      	18181.8182    	2991.89990    
551.0000      	18148.8203    	2924.89990    
552.0000      	18115.9420    	2892.10010    
553.0000      	18083.1826    	2893.10010    
554.0000      	18050.5415    	2883.89990    
555.0000      	18018.0180    	2853.89990    
556.0000      	17985.6115    	2829.89990    
557.0000      	17953.3214    	2894.69995    
558.0000      	17921.1470    	2820.69995    
559.0000      	17889.0877    	2848.50000    
560.0000      	17857.1429    	2807.69995    
561.0000      	17825.3119    	2825.00000    
562.0000      	17793.5943    	2821.39990    
563.0000      	17761.9893    	2828.89990    
564.0000      	17730.4965    	2817.30005    
565.0000      	17699.1150    	2816.60010    
566.0000      	17667.8445    	2800.10010    
567.0000      	17636.6843    	2805.19995    
568.0000      	17605.6338    	2834.80005    
569.0000      	17574.6924    	2807.10010    
570.0000      	17543.8596    	2815.30005    
571.0000      	17513.1349    	2813.89990    
572.0000      	17482.5175    	2795.60010    
573.0000      	17452.0070    	2809.19995    
574.0000      	17421.6028    	2876.00000    
575.0000      	17391.3043    	2819.60010    
576.0000      	17361.1111    	2800.10010    
577.0000      	17331.0225    	2809.10010    
578.0000      	17301.0381    	2843.10010    
579.0000      	17271.1572    	2792.10010    
580.0000      	17241.3793    	2864.60010    
