Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:33:39

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
423.0000      	23640.6619    	2618.30005    
424.0000      	23584.9057    	2644.39990    
425.0000      	23529.4118    	2666.60010    
426.0000      	23474.1784    	2700.10010    
427.0000      	23419.2037    	2664.80005    
428.0000      	23364.4860    	2646.80005    
429.0000      	23310.0233    	2631.69995    
430.0000      	23255.8140    	2616.19995    
431.0000      	23201.8561    	2638.89990    
432.0000      	23148.1481    	2646.89990    
433.0000      	23094.6882    	2667.69995    
434.0000      	23041.4747    	2626.60010    
435.0000      	22988.5057    	2613.10010    
436.0000      	22935.7798    	2603.80005    
437.0000      	22883.2952    	2646.19995    
438.0000      	22831.0502    	3074.89990    
439.0000      	22779.0433    	2751.80005    
440.0000      	22727.2727    	2665.60010    
441.0000      	22675.7370    	2648.19995    
442.0000      	22624.4344    	2918.89990    
443.0000      	22573.3634    	2831.30005    
444.0000      	22522.5225    	2699.10010    
445.0000      	22471.9101    	2720.19995    
446.0000      	22421.5247    	5474.70020    
447.0000      	22371.3647    	7861.70020    
448.0000      	22321.4286    	3875.30005    
449.0000      	22271.7149    	2734.89990    
450.0000      	22222.2222    	2641.19995    
451.0000      	22172.9490    	2640.10010    
452.0000      	22123.8938    	2648.30005    
453.0000      	22075.0552    	2711.39990    
454.0000      	22026.4317    	2711.10010    
455.0000      	21978.0220    	2651.19995    
456.0000      	21929.8246    	2640.89990    
457.0000      	21881.8381    	2746.10010    
458.0000      	21834.0611    	2677.60010    
459.0000      	21786.4924    	2631.39990    
460.0000      	21739.1304    	2647.00000    
461.0000      	21691.9740    	2674.80005    
462.0000      	21645.0216    	2692.89990    
463.0000      	21598.2721    	2669.39990    
464.0000      	21551.7241    	2695.10010    
465.0000      	21505.3763    	2695.89990    
466.0000      	21459.2275    	2678.10010    
467.0000      	21413.2762    	2693.80005    
468.0000      	21367.5214    	2727.69995    
469.0000      	21321.9616    	2679.89990    
470.0000      	21276.5957    	3260.10010    
471.0000      	21231.4225    	7547.39990    
472.0000      	21186.4407    	4266.39990    
473.0000      	21141.6490    	2782.60010    
474.0000      	21097.0464    	2669.10010    
475.0000      	21052.6316    	3012.69995    
476.0000      	21008.4034    	2713.60010    
477.0000      	20964.3606    	2644.50000    
478.0000      	20920.5021    	2671.19995    
479.0000      	20876.8267    	2823.89990    
480.0000      	20833.3333    	2673.60010    
481.0000      	20790.0208    	2814.00000    
482.0000      	20746.8880    	2878.30005    
483.0000      	20703.9337    	2784.30005    
484.0000      	20661.1570    	3014.80005    
485.0000      	20618.5567    	2721.00000    
486.0000      	20576.1317    	2738.50000    
487.0000      	20533.8809    	2751.10010    
488.0000      	20491.8033    	2780.19995    
489.0000      	20449.8978    	2755.50000    
490.0000      	20408.1633    	2648.19995    
491.0000      	20366.5988    	2676.10010    
492.0000      	20325.2033    	4246.60010    
493.0000      	20283.9757    	3340.80005    
494.0000      	20242.9150    	2739.89990    
495.0000      	20202.0202    	2665.69995    
496.0000      	20161.2903    	2835.39990    
497.0000      	20120.7243    	2665.39990    
498.0000      	20080.3213    	2686.19995    
499.0000      	20040.0802    	2658.69995    
500.0000      	20000.0000    	2827.69995    
501.0000      	19960.0798    	3219.69995    
502.0000      	19920.3187    	4503.00000    
503.0000      	19880.7157    	3279.80005    
504.0000      	19841.2698    	5254.89990    
505.0000      	19801.9802    	4912.60010    
506.0000      	19762.8458    	2886.19995    
507.0000      	19723.8659    	2709.50000    
508.0000      	19685.0394    	3570.00000    
509.0000      	19646.3654    	3077.39990    
510.0000      	19607.8431    	2660.89990    
511.0000      	19569.4716    	2680.19995    
512.0000      	19531.2500    	3309.60010    
513.0000      	19493.1774    	2731.10010    
514.0000      	19455.2529    	2724.10010    
515.0000      	19417.4757    	3222.69995    
516.0000      	19379.8450    	2987.60010    
517.0000      	19342.3598    	2667.39990    
518.0000      	19305.0193    	2647.10010    
519.0000      	19267.8227    	3399.00000    
520.0000      	19230.7692    	3117.00000    
521.0000      	19193.8580    	3569.69995    
522.0000      	19157.0881    	2896.30005    
523.0000      	19120.4589    	2899.30005    
524.0000      	19083.9695    	2901.69995    
525.0000      	19047.6190    	2650.39990    
526.0000      	19011.4068    	2610.80005    
527.0000      	18975.3321    	2644.80005    
528.0000      	18939.3939    	2676.39990    
529.0000      	18903.5917    	2651.00000    
530.0000      	18867.9245    	2766.80005    
531.0000      	18832.3917    	2808.10010    
532.0000      	18796.9925    	2673.60010    
533.0000      	18761.7261    	3341.80005    
534.0000      	18726.5918    	3944.50000    
535.0000      	18691.5888    	4829.39990    
536.0000      	18656.7164    	2880.19995    
537.0000      	18621.9739    	2765.30005    
538.0000      	18587.3606    	2941.50000    
539.0000      	18552.8757    	2689.00000    
540.0000      	18518.5185    	2634.89990    
541.0000      	18484.2884    	2882.60010    
542.0000      	18450.1845    	2784.60010    
543.0000      	18416.2063    	2694.39990    
544.0000      	18382.3529    	3385.80005    
545.0000      	18348.6239    	2703.50000    
546.0000      	18315.0183    	2673.89990    
547.0000      	18281.5356    	2631.69995    
548.0000      	18248.1752    	2626.10010    
549.0000      	18214.9362    	2638.89990    
550.0000      	18181.8182    	2668.60010    
551.0000      	18148.8203    	2636.39990    
552.0000      	18115.9420    	2639.69995    
553.0000      	18083.1826    	2628.69995    
554.0000      	18050.5415    	2630.00000    
555.0000      	18018.0180    	2632.10010    
556.0000      	17985.6115    	2633.10010    
557.0000      	17953.3214    	2686.00000    
558.0000      	17921.1470    	2626.60010    
559.0000      	17889.0877    	2650.39990    
560.0000      	17857.1429    	2658.30005    
561.0000      	17825.3119    	2640.39990    
562.0000      	17793.5943    	2633.69995    
563.0000      	17761.9893    	2616.30005    
564.0000      	17730.4965    	2635.19995    
565.0000      	17699.1150    	2630.39990    
566.0000      	17667.8445    	2619.30005    
567.0000      	17636.6843    	2622.10010    
568.0000      	17605.6338    	2611.00000    
569.0000      	17574.6924    	2623.69995    
570.0000      	17543.8596    	2622.69995    
571.0000      	17513.1349    	2608.00000    
572.0000      	17482.5175    	2626.80005    
573.0000      	17452.0070    	2625.19995    
574.0000      	17421.6028    	2711.69995    
575.0000      	17391.3043    	2638.30005    
576.0000      	17361.1111    	2629.80005    
577.0000      	17331.0225    	2639.60010    
578.0000      	17301.0381    	2622.60010    
579.0000      	17271.1572    	2627.80005    
580.0000      	17241.3793    	2624.10010    
581.0000      	17211.7040    	2595.60010    
582.0000      	17182.1306    	2619.50000    
583.0000      	17152.6587    	2595.19995    
584.0000      	17123.2877    	2623.50000    
585.0000      	17094.0171    	2640.10010    
586.0000      	17064.8464    	2646.80005    
587.0000      	17035.7751    	2639.69995    
588.0000      	17006.8027    	2681.39990    
589.0000      	16977.9287    	2630.80005    
590.0000      	16949.1525    	2605.10010    
591.0000      	16920.4738    	2662.00000    
592.0000      	16891.8919    	2618.89990    
593.0000      	16863.4064    	2627.19995    
594.0000      	16835.0168    	2613.89990    
595.0000      	16806.7227    	2617.39990    
596.0000      	16778.5235    	2623.89990    
597.0000      	16750.4188    	2627.80005    
598.0000      	16722.4080    	2654.89990    
599.0000      	16694.4908    	2643.39990    
600.0000      	16666.6667    	2625.00000    
601.0000      	16638.9351    	2645.00000    
602.0000      	16611.2957    	2623.39990    
603.0000      	16583.7479    	2619.10010    
604.0000      	16556.2914    	2623.39990    
605.0000      	16528.9256    	2623.80005    
606.0000      	16501.6502    	2602.39990    
607.0000      	16474.4646    	2636.60010    
608.0000      	16447.3684    	2655.69995    
609.0000      	16420.3612    	2633.60010    
610.0000      	16393.4426    	2665.50000    
611.0000      	16366.6121    	2636.60010    
612.0000      	16339.8693    	2603.60010    
613.0000      	16313.2137    	2644.60010    
614.0000      	16286.6450    	2629.80005    
615.0000      	16260.1626    	2617.30005    
616.0000      	16233.7662    	2623.50000    
617.0000      	16207.4554    	2637.69995    
618.0000      	16181.2298    	2637.69995    
619.0000      	16155.0889    	2629.60010    
620.0000      	16129.0323    	2611.50000    
621.0000      	16103.0596    	2615.50000    
622.0000      	16077.1704    	2636.00000    
623.0000      	16051.3644    	2624.19995    
624.0000      	16025.6410    	2644.89990    
625.0000      	16000.0000    	2625.60010    
626.0000      	15974.4409    	2602.00000    
627.0000      	15948.9633    	2629.60010    
628.0000      	15923.5669    	2636.69995    
629.0000      	15898.2512    	2645.30005    
630.0000      	15873.0159    	2629.50000    
631.0000      	15847.8605    	2680.19995    
632.0000      	15822.7848    	2613.10010    
633.0000      	15797.7883    	2627.69995    
634.0000      	15772.8707    	2631.69995    
635.0000      	15748.0315    	2627.10010    
636.0000      	15723.2704    	2636.10010    
637.0000      	15698.5871    	2635.60010    
638.0000      	15673.9812    	2652.19995    
639.0000      	15649.4523    	2648.00000    
640.0000      	15625.0000    	2622.60010    
641.0000      	15600.6240    	2649.60010    
642.0000      	15576.3240    	2624.00000    
643.0000      	15552.0995    	2629.89990    
644.0000      	15527.9503    	2619.30005    
645.0000      	15503.8760    	2602.10010    
646.0000      	15479.8762    	2618.80005    
647.0000      	15455.9505    	2631.19995    
648.0000      	15432.0988    	2608.89990    
649.0000      	15408.3205    	2613.89990    
650.0000      	15384.6154    	2652.60010    
651.0000      	15360.9831    	2652.00000    
652.0000      	15337.4233    	2638.60010    
653.0000      	15313.9357    	2625.89990    
654.0000      	15290.5199    	2654.69995    
655.0000      	15267.1756    	2646.89990    
656.0000      	15243.9024    	2642.50000    
657.0000      	15220.7002    	2620.10010    
658.0000      	15197.5684    	2605.19995    
659.0000      	15174.5068    	2622.39990    
660.0000      	15151.5152    	2607.39990    
661.0000      	15128.5930    	2622.10010    
662.0000      	15105.7402    	2623.39990    
663.0000      	15082.9563    	2600.30005    
664.0000      	15060.2410    	2629.50000    
665.0000      	15037.5940    	2604.69995    
666.0000      	15015.0150    	2630.00000    
667.0000      	14992.5037    	2609.80005    
668.0000      	14970.0599    	2684.89990    
669.0000      	14947.6831    	2615.60010    
670.0000      	14925.3731    	2628.50000    
671.0000      	14903.1297    	2627.10010    
672.0000      	14880.9524    	2634.50000    
673.0000      	14858.8410    	2658.60010    
674.0000      	14836.7953    	2601.89990    
675.0000      	14814.8148    	2658.89990    
676.0000      	14792.8994    	2611.39990    
677.0000      	14771.0487    	2618.69995    
678.0000      	14749.2625    	2623.50000    
679.0000      	14727.5405    	2630.69995    
680.0000      	14705.8824    	2669.50000    
681.0000      	14684.2878    	2618.69995    
682.0000      	14662.7566    	2619.60010    
683.0000      	14641.2884    	2688.19995    
684.0000      	14619.8830    	2621.50000    
685.0000      	14598.5401    	2636.69995    
686.0000      	14577.2595    	2606.80005    
687.0000      	14556.0408    	2643.19995    
688.0000      	14534.8837    	2629.60010    
689.0000      	14513.7881    	2617.60010    
690.0000      	14492.7536    	2631.69995    
691.0000      	14471.7800    	2637.39990    
692.0000      	14450.8671    	2642.19995    
693.0000      	14430.0144    	2627.39990    
694.0000      	14409.2219    	2682.39990    
695.0000      	14388.4892    	2695.19995    
696.0000      	14367.8161    	2644.69995    
697.0000      	14347.2023    	2641.30005    
698.0000      	14326.6476    	2621.69995    
699.0000      	14306.1516    	2632.10010    
700.0000      	14285.7143    	2647.80005    
701.0000      	14265.3352    	2623.10010    
702.0000      	14245.0142    	2639.60010    
703.0000      	14224.7511    	2673.19995    
704.0000      	14204.5455    	2924.39990    
705.0000      	14184.3972    	3196.89990    
706.0000      	14164.3059    	2798.39990    
707.0000      	14144.2716    	4119.70020    
708.0000      	14124.2938    	12364.00000   
709.0000      	14104.3724    	8439.40039    
710.0000      	14084.5070    	2964.00000    
711.0000      	14064.6976    	2776.19995    
712.0000      	14044.9438    	2734.19995    
713.0000      	14025.2454    	2708.30005    
714.0000      	14005.6022    	2709.19995    
715.0000      	13986.0140    	2670.30005    
716.0000      	13966.4804    	2648.10010    
