Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1339 	767.7430      	13025.1913    	4328    
1340 	768.2499      	13016.5982    	4358    
1341 	768.7567      	13008.0165    	4364    
1342 	769.2637      	12999.4440    	4530    
1343 	769.7706      	12990.8828    	4590    
1344 	770.2776      	12982.3318    	4693    
1345 	770.7847      	12973.7921    	4640    
1346 	771.2917      	12965.2625    	4761    
1347 	771.7989      	12956.7432    	4818    
1348 	772.3061      	12948.2340    	4988    
1349 	772.8133      	12939.7360    	4849    
1350 	773.3206      	12931.2481    	4902    
1351 	773.8279      	12922.7704    	5084    
1352 	774.3353      	12914.3027    	5052    
1353 	774.8427      	12905.8461    	5208    
1354 	775.3501      	12897.3995    	5184    
1355 	775.8576      	12888.9630    	5408    
1356 	776.3651      	12880.5376    	5379    
1357 	776.8727      	12872.1221    	5492    
1358 	777.3803      	12863.7166    	5544    
1359 	777.8880      	12855.3211    	5550    
1360 	778.3957      	12846.9365    	5449    
1361 	778.9034      	12838.5618    	5518    
1362 	779.4113      	12830.1971    	5486    
1363 	779.9191      	12821.8432    	5676    
1364 	780.4269      	12813.4992    	5742    
1365 	780.9349      	12805.1651    	5962    
1366 	781.4429      	12796.8408    	6105    
1367 	781.9509      	12788.5273    	6260    
1368 	782.4589      	12780.2236    	6453    
1369 	782.9670      	12771.9297    	6709    
1370 	783.4752      	12763.6465    	6879    
1371 	783.9833      	12755.3731    	7034    
1372 	784.4916      	12747.1095    	7208    
1373 	784.9999      	12738.8555    	7428    
1374 	785.5082      	12730.6122    	7423    
1375 	786.0165      	12722.3786    	7610    
1376 	786.5250      	12714.1546    	7868    
1377 	787.0334      	12705.9413    	7876    
1378 	787.5419      	12697.7376    	8054    
